id,status,attendance_time,lesson_id,user_id
1,1,2024-10-24 14:42:18.546532,5,3581635894
2,3,2024-10-24 14:42:27.062868,5,3581635894
3,3,2024-10-24 14:42:44.174057,5,3581635894
4,1,2024-10-24 14:43:15.617845,5,3581635894
5,1,2024-10-24 14:44:12.340401,5,3581635894
38,2,2024-10-25 06:03:30.029243,5,3581635894
39,1,2024-10-25 06:03:37.534024,5,3581635894
40,2,2024-10-25 07:28:15.292555,5,3581635894
41,1,2024-10-25 07:28:25.863491,5,3581635894
42,1,2024-10-25 07:29:40.009798,5,3581635894
