name,seq
django_migrations,30
django_content_type,24
auth_permission,96
auth_group,0
django_admin_log,109
adminpanel_plannedlesson,2
adminpanel_lesson,373
grades,130
adminpanel_teacherassignment,2
room_students,50
attendance_device,1
attendance,42
